SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
50,39,5,Ohio,Ashland County,10,2007,7,2764,1360,1404,1323,1361,9,7,0,0,11,18,2,1,15,17,1345,1387,1308,1346,9,7,0,0,11,18,2,1,15,15,15,17,15,15,0,0,0,0,0,0,0,0,0,2
50,39,5,Ohio,Ashland County,11,2008,4,4140,2107,2033,2024,1969,40,27,6,2,6,3,5,0,26,32,2087,2004,2006,1943,40,27,5,2,6,3,5,0,25,29,20,29,18,26,0,0,1,0,0,0,0,0,1,3
50,39,5,Ohio,Ashland County,11,2008,5,3675,1804,1871,1728,1808,27,25,1,1,19,20,4,1,25,16,1788,1859,1715,1797,27,25,1,1,19,20,4,1,22,15,16,12,13,11,0,0,0,0,0,0,0,0,3,1
50,39,5,Ohio,Ashland County,11,2008,7,2877,1438,1439,1391,1398,12,7,0,0,18,16,2,1,15,17,1420,1420,1373,1381,12,7,0,0,18,16,2,1,15,15,18,19,18,17,0,0,0,0,0,0,0,0,0,2
50,39,5,Ohio,Ashland County,12,2009,4,4098,2072,2026,1989,1960,37,29,6,2,7,3,5,0,28,32,2051,1993,1970,1930,37,29,5,2,7,3,5,0,27,29,21,33,19,30,0,0,1,0,0,0,0,0,1,3
50,39,5,Ohio,Ashland County,12,2009,5,3649,1777,1872,1692,1813,32,21,1,1,20,20,4,1,28,16,1757,1855,1675,1797,32,21,1,1,20,20,4,1,25,15,20,17,17,16,0,0,0,0,0,0,0,0,3,1
50,39,5,Ohio,Ashland County,12,2009,7,2864,1424,1440,1380,1399,14,7,0,0,13,16,2,1,15,17,1406,1422,1362,1383,14,7,0,0,13,16,2,1,15,15,18,18,18,16,0,0,0,0,0,0,0,0,0,2
50,39,7,Ohio,Ashtabula County,3,2000,4,7295,3772,3523,3514,3306,164,130,10,3,23,15,0,0,61,69,3650,3421,3398,3208,161,127,9,3,22,15,0,0,60,68,122,102,116,98,3,3,1,0,1,0,0,0,1,1
50,39,7,Ohio,Ashtabula County,3,2000,5,5357,2615,2742,2447,2616,119,86,10,8,8,3,0,2,31,27,2488,2644,2328,2528,113,82,8,6,8,3,0,2,31,23,127,98,119,88,6,4,2,2,0,0,0,0,0,4
50,39,7,Ohio,Ashtabula County,3,2000,7,6791,3435,3356,3238,3205,136,97,6,9,21,24,2,0,32,21,3320,3273,3136,3129,128,93,5,8,20,23,2,0,29,20,115,83,102,76,8,4,1,1,1,1,0,0,3,1
50,39,7,Ohio,Ashtabula County,4,2001,4,7287,3811,3476,3550,3272,170,116,11,5,16,13,0,0,64,70,3657,3364,3404,3166,165,113,9,4,16,13,0,0,63,68,154,112,146,106,5,3,2,1,0,0,0,0,1,2
50,39,7,Ohio,Ashtabula County,4,2001,5,5540,2713,2827,2540,2691,119,91,11,7,8,4,0,2,35,32,2595,2731,2431,2606,112,86,9,5,8,4,0,2,35,28,118,96,109,85,7,5,2,2,0,0,0,0,0,4
50,39,7,Ohio,Ashtabula County,4,2001,7,6698,3374,3324,3138,3180,166,89,8,10,24,22,2,1,36,22,3261,3232,3040,3097,156,84,7,9,23,21,2,0,33,21,113,92,98,83,10,5,1,1,1,1,0,1,3,1
50,39,7,Ohio,Ashtabula County,5,2002,4,7280,3832,3448,3550,3254,180,103,11,6,20,12,0,0,71,73,3661,3336,3396,3149,168,99,10,5,18,12,0,0,69,71,171,112,154,105,12,4,1,1,2,0,0,0,2,2
50,39,7,Ohio,Ashtabula County,5,2002,5,5662,2799,2863,2610,2729,135,92,13,7,9,4,0,3,32,28,2683,2760,2504,2638,128,87,10,5,9,4,0,2,32,24,116,103,106,91,7,5,3,2,0,0,0,1,0,4
50,39,7,Ohio,Ashtabula County,5,2002,7,6516,3296,3220,3055,3072,178,84,8,10,19,22,2,0,34,32,3175,3125,2951,2987,168,78,7,8,18,21,2,0,29,31,121,95,104,85,10,6,1,2,1,1,0,0,5,1
50,39,7,Ohio,Ashtabula County,6,2003,4,7314,3832,3482,3569,3295,174,94,13,6,18,12,0,0,58,75,3676,3359,3425,3181,167,88,10,5,18,12,0,0,56,73,156,123,144,114,7,6,3,1,0,0,0,0,2,2
50,39,7,Ohio,Ashtabula County,6,2003,5,5678,2859,2819,2641,2685,153,83,11,8,9,4,0,3,45,36,2755,2709,2549,2586,145,78,8,5,9,4,0,2,44,34,104,110,92,99,8,5,3,3,0,0,0,1,1,2
50,39,7,Ohio,Ashtabula County,6,2003,7,6311,3217,3094,2963,2956,193,78,7,12,15,18,2,1,37,29,3092,2993,2855,2870,185,71,5,8,14,17,2,0,31,27,125,101,108,86,8,7,2,4,1,1,0,1,6,2
50,39,7,Ohio,Ashtabula County,7,2004,4,7344,3854,3490,3586,3307,174,96,14,6,12,12,0,0,68,69,3687,3372,3439,3200,163,90,10,4,12,12,0,0,63,66,167,118,147,107,11,6,4,2,0,0,0,0,5,3
50,39,7,Ohio,Ashtabula County,7,2004,5,5710,2852,2858,2596,2713,185,89,13,8,7,6,0,2,51,40,2734,2740,2495,2605,174,84,10,6,7,6,0,1,48,38,118,118,101,108,11,5,3,2,0,0,0,1,3,2
50,39,7,Ohio,Ashtabula County,7,2004,7,6093,3087,3006,2823,2869,205,78,8,11,13,22,2,0,36,26,2964,2895,2718,2772,194,70,6,7,12,21,2,0,32,25,123,111,105,97,11,8,2,4,1,1,0,0,4,1
