SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,39,163,Ohio,Vinton County,7,2014,5,808,430,378,420,365,4,3,2,2,0,4,0,0,4,4,423,369,8,6,2,3,1,4,0,0,423,376,413,364,4,3,2,1,0,4,0,0,4,4,416,368,8,6,2,2,1,4,0,0,7,2,7,1,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,7,2014,7,712,341,371,332,360,0,3,2,0,3,5,0,0,4,3,336,363,2,5,3,1,3,5,1,0,337,369,328,358,0,3,2,0,3,5,0,0,4,3,332,361,2,5,3,1,3,5,1,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,8,2015,4,848,422,426,412,419,1,0,3,1,1,0,0,0,5,6,417,425,4,3,5,4,2,0,0,0,417,422,407,416,1,0,3,0,1,0,0,0,5,6,412,422,4,3,5,3,2,0,0,0,5,4,5,3,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,8,2015,5,762,398,364,388,354,2,2,3,2,0,1,0,0,5,5,393,358,5,6,4,4,1,1,0,0,393,362,383,353,2,2,3,1,0,1,0,0,5,5,388,357,5,6,4,3,1,1,0,0,5,2,5,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,8,2015,7,651,316,335,307,327,1,1,2,0,4,4,0,0,2,3,308,330,1,3,2,1,6,4,1,0,310,333,301,325,1,1,2,0,4,4,0,0,2,3,302,328,1,3,2,1,6,4,1,0,6,2,6,2,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,9,2016,4,838,420,418,407,409,2,0,3,2,1,0,0,0,7,7,414,416,5,2,7,5,3,2,0,0,418,414,405,406,2,0,3,1,1,0,0,0,7,7,412,413,5,2,7,4,3,2,0,0,2,4,2,3,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,9,2016,5,745,384,361,374,351,2,3,2,2,0,1,0,0,6,4,379,355,5,4,5,4,1,2,0,0,380,358,370,349,2,3,2,1,0,1,0,0,6,4,375,353,5,4,5,3,1,2,0,0,4,3,4,2,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,9,2016,7,650,319,331,309,322,1,2,2,0,3,4,0,0,4,3,312,325,2,3,4,2,4,4,1,0,310,329,302,320,1,2,2,0,3,4,0,0,2,3,303,323,2,3,2,2,4,4,1,0,9,2,7,2,0,0,0,0,0,0,0,0,2,0,9,2,0,0,2,0,0,0,0,0
50,39,163,Ohio,Vinton County,10,2017,4,858,441,417,428,403,2,0,3,4,1,0,0,0,7,10,435,413,7,6,5,8,2,0,0,0,440,412,427,401,2,0,3,2,1,0,0,0,7,9,434,410,7,5,5,6,2,0,0,0,1,5,1,2,0,0,0,2,0,0,0,0,0,1,1,3,0,1,0,2,0,0,0,0
50,39,163,Ohio,Vinton County,10,2017,5,721,374,347,366,335,1,2,1,2,0,0,0,0,6,8,371,343,2,6,5,4,2,2,0,0,372,344,364,333,1,2,1,1,0,0,0,0,6,8,369,341,2,6,5,3,2,2,0,0,2,3,2,2,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
